"type","country","total_amount","year"
"02章 肉及食用杂碎","伊朗",334600,"2024"
"02章 肉及食用杂碎","日本",4741800,"2024"
"02章 肉及食用杂碎","中国澳门",60604600,"2024"
"02章 肉及食用杂碎","马来西亚",40434800,"2024"
"02章 肉及食用杂碎","阿曼",0,"2024"
"02章 肉及食用杂碎","巴基斯坦",1477000,"2024"
"02章 肉及食用杂碎","菲律宾",711200,"2024"
"02章 肉及食用杂碎","沙特阿拉伯",0,"2024"
"02章 肉及食用杂碎","新加坡",718200,"2024"
"02章 肉及食用杂碎","韩国",0,"2024"
"02章 肉及食用杂碎","泰国",109200,"2024"
"02章 肉及食用杂碎","土耳其",0,"2024"
"02章 肉及食用杂碎","阿拉伯联合酋长国",6218800,"2024"
"02章 肉及食用杂碎","越南",1506400,"2024"
"02章 肉及食用杂碎","中国台湾",36400,"2024"
"02章 肉及食用杂碎","哈萨克斯坦",2382800,"2024"
"02章 肉及食用杂碎","南非",26600,"2024"
"02章 肉及食用杂碎","欧洲联盟",14632800,"2024"
"02章 肉及食用杂碎","比利时",4186000,"2024"
"02章 肉及食用杂碎","丹麦",0,"2024"
"02章 肉及食用杂碎","英国",0,"2024"
"02章 肉及食用杂碎","德国",3882200,"2024"
"02章 肉及食用杂碎","法国",1695400,"2024"
"02章 肉及食用杂碎","意大利",0,"2024"
"02章 肉及食用杂碎","荷兰",1682800,"2024"
"02章 肉及食用杂碎","西班牙",0,"2024"
"02章 肉及食用杂碎","奥地利",0,"2024"
"02章 肉及食用杂碎","芬兰",0,"2024"
"02章 肉及食用杂碎","瑞典",0,"2024"
"02章 肉及食用杂碎","罗马尼亚",0,"2024"
"02章 肉及食用杂碎","瑞士",0,"2024"
"02章 肉及食用杂碎","俄罗斯",95272800,"2024"
"02章 肉及食用杂碎","乌克兰",0,"2024"
"02章 肉及食用杂碎","阿根廷",0,"2024"
"02章 肉及食用杂碎","巴西",0,"2024"
"02章 肉及食用杂碎","智 利",0,"2024"
"02章 肉及食用杂碎","加拿大",0,"2024"
"02章 肉及食用杂碎","美国",3147200,"2024"
"02章 肉及食用杂碎","澳大利亚",7000,"2024"
"02章 肉及食用杂碎","新西兰",15400,"2024"
"03章 鱼及其他水生无脊椎动物","缅甸",60200,"2024"
